;HomeTeam;AwayTeam;HTWinStreak3;HTWinStreak5;HTLossStreak3;HTLossStreak5;ATWinStreak3;ATWinStreak5;ATLossStreak3;ATLossStreak5;HM1;AM1;HM2;AM2;HTGD;ATGD;DiffFormPts;DiffLP;H2H_Diff;WHH;WHD;WHA;Total_Diff;Age_diff;prediction;FTR_05;FTR_545
1;Torino;Frosinone;0;0;0;0;0;0;1;1;1;0;0;0;-1;-17;8;-9;0;1.4;4.5;8.5;114.55;-0.100000000000001;0.740632705514961;Gospodarz;Gospodarz
2;Cagliari;Bologna;0;0;0;0;0;0;0;0;0;1;0;0;-5;-4;-1;1;0;2.05;3.2;3.9;32.43;2;0.470478143042381;Remis_lub_gosc;Remis_lub_gosc
3;Empoli;Roma;0;0;0;0;0;0;0;0;0;1;0;1;-3;4;-5;15;0;5;4;1.67;-330.9;-0.199999999999999;0.146962552266557;Remis_lub_gosc;Remis_lub_gosc
4;Udinese;Juventus;0;0;0;0;1;1;0;0;0;1;0;1;0;11;-11;13;0;8.5;4.75;1.38;-665.65;-3.8;0.0259277223440519;Remis_lub_gosc;Remis_lub_gosc
5;Atalanta;Sampdoria;0;0;0;0;0;0;0;0;0;1;0;0;-1;7;-6;-3;0;1.65;4;5.25;13.65;-0.5;0.575961576473574;Gospodarz;Gospodarz
6;Genoa;Parma;0;0;0;0;0;0;0;0;0;1;1;0;-1;-1;1;-6;0;1.83;3.7;4.33;10.32;-2;0.529354100830675;Gospodarz;Remis_lub_gosc
7;Lazio;Fiorentina;1;0;0;0;0;0;0;0;0;1;1;0;1;9;5;-3;0;1.8;3.7;4.33;117.65;2.4;0.572859033283886;Gospodarz;Gospodarz
8;Milan;Chievo;0;0;0;0;0;0;0;0;0;0;1;0;4;-11;5;-7;0;1.29;5.5;11;433.1;-1.2;0.8332891278163;Gospodarz;Gospodarz
9;Napoli;Sassuolo;0;0;0;0;0;0;0;0;0;0;1;1;3;3;0;-9;0;1.36;5.25;8;368.57;1.6;0.801466345606713;Gospodarz;Gospodarz
10;Spal;Inter;0;0;0;0;0;0;0;0;0;1;0;1;-3;5;-9;13;0;5.8;3.6;1.67;-493.55;-1.4;0.0753448887076287;Remis_lub_gosc;Remis_lub_gosc
